Time,Date,NB Guess,SVM Guess,Tweet Text
16:44:48,2016-12-08,2,2,Really sprucing up the @Delta lounge here in Seattle #nottooshabby https://t.co/2pvXBlHvNY
16:44:50,2016-12-08,2,2,@united My wife's bag never left the city she departed from. Now it can't be found, and calls go to India. Amazing airline you folks have.
16:44:50,2016-12-08,2,2,@united Spin it anyway you want. Call it "pricing tiers" if you want. But dont lie. You ARE now going to charge for a previously free option
16:44:51,2016-12-08,2,0,@AmericanAir teach me How to be cool
16:45:01,2016-12-08,2,2,✈️ @Delta Air Lines anuncia nova linha de petiscos para sua cabine principal: https://t.co/yvuJJChNve | #AeroAgora https://t.co/kaq8qtj74H
16:45:02,2016-12-08,2,2,@SouthwestAir I appreciate your response. This is not the first time. It's been like this all year. Frustration ==&gt;my tweet. Actions speak
16:45:08,2016-12-08,2,1,@eric_jones24 @VelociKraftor bday trip? https://t.co/DH6UAIRZvu
16:45:08,2016-12-08,2,0,@FlyFrontier your recruiters and inflight team members loved my personality and how I interview OH BUT I HAVE TATTOOS
16:45:15,2016-12-08,2,2,@AmericanAir You know flights will be delayed hours, don't change your procedures, and expect people to spend hours waiting. YDGAF
16:45:16,2016-12-08,1,1,@JetBlue good afternoon question, who do we contact to get information on our application status for the college crew summer internship?
16:45:19,2016-12-08,2,2,@SouthwestAir do better
16:45:21,2016-12-08,2,1,@onlyonejj22 @_fortheloveofAj @JetBlue yea. They be for flights from FL and NY tho 😔
16:45:34,2016-12-08,2,2,@Delta it's an hr past scheduled takeoff time, still on tarmac, &amp; staff won't let me get up to pump #ow #leaking #sendhelp #educationneeded
16:45:35,2016-12-08,2,2,@SouthwestAir I think your emails might be sending emails with arrival times in different time zones? See 1384 today
16:45:36,2016-12-08,2,2,Wow - looks like @VirginAtlantic and @VirginAmerica have completely dropped their partnership, without any announcement. Not cool...
16:45:36,2016-12-08,2,2,We're proud to announce that our Honey Roasted Peanuts are coming soon to @delta airline's on-board snack lineup!… https://t.co/I8KxPni6Df
16:45:43,2016-12-08,2,2,@AmericanAir "Sorry" only works the first time.
16:45:43,2016-12-08,2,0,@FlyFrontier thank you for offering me the job. I hate I had to decline but my hope is for you to reconsider the tattoo policy!
16:45:44,2016-12-08,2,2,@Delta I only have a carry on and backpack. My sister made me 2 xmas wreaths. They won't fit in either. Can I take home w/me on my flights?
16:45:45,2016-12-08,0,0,@SouthwestAir :') thank you. See you hopefully in January!
16:45:49,2016-12-08,2,2,@AmericanAir well I was on a plane and then I saw some bee flying the plane then all of a sudden the plane was being landed on bees
16:45:56,2016-12-08,2,2,@lufthansa shame on you https://t.co/8dCzmf1MuD
16:45:58,2016-12-08,2,2,@delta awesome Elite Service today. Robert saved me from missing my connection by transporting me from plane to plane..in a Porsche even!
16:45:58,2016-12-08,2,2,Dreary day in #DFW - Returning to #CA from 2 days of meetings in #Memphis . @AmericanAir https://t.co/gtiFscN61Y
16:45:59,2016-12-08,2,0,@joshseeley @eric_jones24 @SecretFlying @united oh wow, United was nice, I'm definitely in
16:46:01,2016-12-08,2,2,Wow. Overhead space is such a problem bc airlines like @United charge for checked bags. Now this. 😒 https://t.co/ZgSLQEYLMK via @MensJournal
16:46:11,2016-12-08,2,2,@SamFeldtMusic @KLM 👁
16:46:17,2016-12-08,2,2,@GloUpElite @_fortheloveofAj @JetBlue say whaaaaat?!?!
